job_title,company,first_seen,search_country,search_position,job_level,job_type,city,state,country,city_state,latitude,longitude,job_skills
Sales Supervisor - Spencer's,Spencer's,2024-01-14,United States,Superintendent Sales,Mid senior,Onsite,Jenks,OK,United States,"Jenks, OK",35.998219,-95.973404,"Sales, Customer Service, Merchandising, Inventory Control, Store Management, Staff Development, Expense Control, Shrinkage Control"
Part Time Sales Lead - Galleria at Sunset,Build-A-Bear Workshop,2024-01-12,United States,Circulation-Sales Representative,Mid senior,Onsite,Henderson,NV,United States,"Henderson, NV",36.008958,-115.0268,"Experience First, BABW policies and procedures, BABW store security, BABW cash management, IT systems, BuildABear Workshop process, Make Behaviors, Interpersonal communications, Leadership, Selling, Flexibility, Adaptability, Energy, Appreciation for children, Customer service, Teamwork, Problem solving, Decision making, Time management, High school diploma or GED, College degree"
Title I Instructional Assistant III (Physical Ed) - Gilbert ES.,Clark County School District,2024-01-12,United States,Administrative Clerk,Mid senior,Onsite,North Las Vegas,NV,United States,"North Las Vegas, NV",36.289865,-115.089181,"ParaProfessional/Aides/Assistants, Clark County School District, Day Job"
Child Care Attendant,City of Claremore,2024-01-12,United States,Child-Care Attendant School,Mid senior,Onsite,Claremore,OK,United States,"Claremore, OK",36.315093,-95.609451,"Communication, Child Care, Customer Service, Teamwork, Problem Solving, Attention to Detail, Ability to Handle Stressful Situations, High School Diploma or GED, Child Care Courses, Six Months' Child Care Experience, Ability to Work as Part of a Team, Flexibility, Phone, Copy Machine, Sitting, Talking, Hearing, Walking, Using Hands and Fingers, Handling Objects, Operating Tools or Controls, Reaching, Lifting and Moving Up to 25 Pounds, Close Vision, Ability to Adjust Focus, Moderately Noisy Work Environment"
"***EARN UP TO $1,500/WEEK - FIX CARS AS A MOBILE MECHANIC***",YourMechanic (Acquired),2024-01-12,United States,Automobile Mechanic,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Mobile technician, Auto repair, Automotive mechanic, Automotive technician, Basic automotive tools, ASE certifications, Technical school, Valid driver's license, Clean background, Reliable transportation, Customer service, Communication skills, Problemsolving skills, Mechanical skills, Diagnostic skills, Time management skills, Flexibility, Independent contractor"
Histotechnologist,"STAFF ICONS, LLC",2024-01-12,United States,Biologist,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Microscopic evaluation, Histotechnology, Tissue processing, Microtomy, Hematoxylin and Eosin staining, Automated slide cover slipping, Prepare solutions and reagents, Special stain procedures, IHC procedures, Tissue filing, Equipment maintenance, Troubleshooting, Quality control, Quality assurance, CLIA regulations, CAP regulations, AA or AS degree, Histotechnician experience, HT (ASCP) or HTL (ASCP) certification"
Nurse Resident New Grad - Jim Thorpe Rehab - Nights,INTEGRIS Health,2024-01-13,United States,Nurse Practical,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Nurse Resident, Jim Thorpe Rehab, INTEGRIS Health, Oklahoma City OK, Nursing Program, NCLEX exam, Patient care, Safety, Security, Vital signs, Blood glucose monitoring, 12Lead EKG, Telemetry monitor, Pulse oximetry, Doppler, Sterile procedures, Specimen collection, Wound care, Tracheostomy care, Suction, Urinary catheterization, Tube feedings, Infection control, Standard precautions, Communication, Teamwork, Problemsolving, Critical thinking, Time management, Stress management"
LEAD SALES ASSOCIATE-FT,Dollar General,2024-01-12,United States,Check Cashier,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Customer service, Cash register operation, Inventory management, Merchandising, Cleaning, Planogram implementation, Store management, Communication, Safety, Mathematical calculations, Cash handling, Driving, High school diploma, Supervisory experience, Physical strength, Time management, Problemsolving, Attention to detail"
Care Manager II (RN),Jobs for Humanity,2024-01-13,United States,Manager Employment,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"Nursing, Patient care, Medical management, Health services, Case management, Utilization management, Medical decision support tools, RN license, Behavioral Health Case Manager certification, Accredited School of Nursing, Bachelor's degree in Nursing, 2+ years of clinical nursing experience, 1+ years of case management experience, Knowledge of managed care, Experience with Interqual and NCCN, Experience assisting with facility transition, Experience with adolescent to adulthood transition, Experience with provider terminations"
RN - Registered Nurse,The Columbus Organization,2024-01-12,United States,Christian Science Nurse,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Registered Nurse (RN), Discharge Planner, Acute Care Discharge Planning, Patient Care, Coordination of Care, Transition Planning, Medical Discharge Planning, Discharge Needs Assessment, Length of Stay (LOS) Management, EvidenceBased Programs, Interqual (McKesson)/Milliman, Utilization Management, Case Management, Social Work, Home Health Care (HHC), Community Health Service, Medical Equipment (DME), TRICARE, Managed Care, Insurance Authorization, Patient Education, SelfCare Management, Nursing Home Placement, Group Home Placement, Medical Student Teaching, Nurse Training, Leadership Skills, Teamwork, Communication, Documentation, Productivity, Baccalaureate Degree (BSN) in Nursing, 5 Years' Total Nursing Experience, 36 Months' Direct Patient Care or Acute Care Discharge Planning Experience, 24 Consecutive Months' Majority Experience in Discharge Planning, Nursing Care Theories Principles Practices and Procedures, Medical Practice, TRICARE Concepts Principles and Priorities, Clinical Training and Experience, ProblemSolving Skills, Safe Discharge Concepts, Interqual/Milliman and EvidenceBased Guidelines, EMTALA (Emergency Medical Treatment and Active Labor Act), COBRA (Consolidated Omnibus Budget Reconciliation Act), Advanced Nurse Consultant Assignments, Discharge Planning Program Management, Technical Advice, Physiological/Psychological Norms, Current Unrestricted Nevada RN License, TRICARE Medicare Medicaid Third Party Collections VA and Private Health Insurance Knowledge, DRGs ICD9 CPT4 HCPCS Coding LOS Criteria and Avoidable Bed Days, Medical Facility Organization Mission Purpose Philosophy and Objectives, Professional Nursing Consultation, Oral and Written Communication, Treatment Plan Analysis and Evaluation, Computer Applications/Software for Data Input and Extraction, Current Unrestricted Registered Nurse License in Any State, Certification (Preferred) or Eligibility in Relevant Specialty, Certified Managed Care Nurse (American Board of Managed Care Nursing or American Association of Managed Care Nurses), Certified Informatics Nursing Ambulatory Care Nursing MedicalSurgical Nursing or Nursing Case Management (American Nurses Credentialing Center), Current ARC or AHA BLS PALS and ACLS Certification, Government Background Check and Security Clearance"
