CAGDP1 County gross domestic product (GDP) summary
CAGDP1 County gross domestic product (GDP) summary
County
GeoFIPS,GeoName,2022,2023,2024
01001,"Autauga, AL",1883611,1907174,1758017
01003,"Baldwin, AL",9224845,9928360,10208956
01005,"Barbour, AL",748152,730176,747750
01007,"Bibb, AL",458937,471817,476273
01009,"Blount, AL",1041201,1086171,1174999
01011,"Bullock, AL",258330,281803,292695
01013,"Butler, AL",647451,665432,702420
01015,"Calhoun, AL",4663474,4845292,4965547
01017,"Chambers, AL",875745,937350,990039
01019,"Cherokee, AL",608839,603805,632989
01021,"Chilton, AL",1144511,1196469,1261402
01023,"Choctaw, AL",531061,534000,553184
01025,"Clarke, AL",793718,823308,833608
01027,"Clay, AL",447083,411430,427679
01029,"Cleburne, AL",333754,341538,372482
01031,"Coffee, AL",1713754,1712285,1819734
01033,"Colbert, AL",2706227,2789446,2847285
01035,"Conecuh, AL",354394,385845,397455
01037,"Coosa, AL",190382,186612,189287
01039,"Covington, AL",1240148,1241952,1283169
01041,"Crenshaw, AL",459492,465027,500149
01043,"Cullman, AL",3158691,3145736,3288755
01045,"Dale, AL",2918859,3044364,3114449
01047,"Dallas, AL",1259304,1284181,1318245
01049,"DeKalb, AL",2302198,2245520,2384155
01051,"Elmore, AL",2089684,2261193,2430776
01053,"Escambia, AL",1226004,1280044,1299130
01055,"Etowah, AL",2977378,3019090,3120496
01057,"Fayette, AL",345675,363597,368269
01059,"Franklin, AL",1053467,990508,1043953
01061,"Geneva, AL",584681,601103,614453
01063,"Greene, AL",202091,212127,215850
01065,"Hale, AL",246513,269369,283640
01067,"Henry, AL",468017,488768,516959
01069,"Houston, AL",5860348,6000085,6085531
01071,"Jackson, AL",1563105,1603527,1637868
01073,"Jefferson, AL",49224090,50456653,51158763
01075,"Lamar, AL",326295,334044,338807
01077,"Lauderdale, AL",2822630,2885377,2988972
01079,"Lawrence, AL",642547,689199,645253
01081,"Lee, AL",6624257,6999992,7169778
01083,"Limestone, AL",4895170,5258114,5497797
01085,"Lowndes, AL",401737,412548,440550
01087,"Macon, AL",553588,584157,607800
01089,"Madison, AL",29457107,31184027,32236676
01091,"Marengo, AL",784367,805566,846917
01093,"Marion, AL",960898,971127,976529
01095,"Marshall, AL",3932961,3952249,4082729
01097,"Mobile, AL",22260072,23356983,24306390
01099,"Monroe, AL",617662,618925,630618
01101,"Montgomery, AL",14712897,15275538,15685249
01103,"Morgan, AL",6204789,6353374,6619015
01105,"Perry, AL",183980,196768,199443
01107,"Pickens, AL",397859,416692,431033
01109,"Pike, AL",1560024,1589467,1663527
01111,"Randolph, AL",506823,505300,525885
01113,"Russell, AL",1653309,1673582,1760468
01115,"St. Clair, AL",2111458,2276053,2402348
01117,"Shelby, AL",13281571,13237066,13301277
01119,"Sumter, AL",310690,321041,341510
01121,"Talladega, AL",3275928,3337759,3694135
01123,"Tallapoosa, AL",1438724,1460817,1514769
01125,"Tuscaloosa, AL",10422989,10993527,11362541
01127,"Walker, AL",1802695,1874965,1963695
01129,"Washington, AL",893673,934930,1055630
01131,"Wilcox, AL",337489,360015,386907
01133,"Winston, AL",757243,778725,811115
02013,"Aleutians East Borough, AK",302631,361065,225464
02016,"Aleutians West Census Area, AK",717884,725284,978184
02020,"Anchorage Municipality, AK",23489416,24414948,25051159
02050,"Bethel Census Area, AK",667019,678307,674969
02060,"Bristol Bay Borough, AK",152465,149873,141950
02063,"Chugach Census Area, AK*",1428622,1335654,1185552
02066,"Copper River Census Area, AK*",128639,138121,139800
02068,"Denali Borough, AK",281489,307514,305254
02070,"Dillingham Census Area, AK",246388,253119,255988
02090,"Fairbanks North Star Borough, AK",5556842,5603131,5975015
02100,"Haines Borough, AK",96965,110146,116106
02105,"Hoonah-Angoon Census Area, AK*",100497,107437,110601
02110,"Juneau City and Borough, AK",2406835,2419640,2406431
02122,"Kenai Peninsula Borough, AK",2463946,2685708,2748305
02130,"Ketchikan Gateway Borough, AK*",872480,936598,961119
02150,"Kodiak Island Borough, AK",813289,814483,782770
02158,"Kusilvak Census Area, AK*",153012,145811,144569
02164,"Lake and Peninsula Borough, AK",85413,93955,111360
02170,"Matanuska-Susitna Borough, AK",3129200,3342477,3468517
02180,"Nome Census Area, AK",459029,458164,476390
02185,"North Slope Borough, AK",4952980,6733944,7292252
02188,"Northwest Arctic Borough, AK",583781,551236,521404
02195,"Petersburg Borough, AK*",163405,179731,172412
02198,"Prince of Wales-Hyder Census Area, AK*",243428,237295,226956
