job_title,company_name,location,hiring_status,date,seniority_level,job_function,employment_type,industry
Store Business Manager - DAVID JONES CHERMSIDE,M.J. Bale,"Brisbane, Queensland, Australia",Be an early applicant,2023-04-13 00:00:00,Not Applicable,Sales and Business Development,Full-time,Government Administration
Full-time,Gatesman,"Chicago, IL",Be an early applicant,2023-03-31 00:00:00,,,,
Senior Machine Learning Engineer,Redwolf + Rosch,"Adelaide, South Australia, Australia",Be an early applicant,2023-04-25 00:00:00,Mid-Senior level,Engineering and Information Technology,Part-time,Internet Publishing
Senior Data Scientist,Bupa,"Melbourne, Victoria, Australia",Be an early applicant,2023-04-29 00:00:00,Entry level,Engineering and Information Technology,Full-time,"Technology, Information and Internet"
"
            
        Solution Architect
      
          ","
            Xybion Digital
          ","
            Chennai, Tamil Nadu, India
          ","
         Be an early applicant
      ",2023-01-26 00:00:00,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting, Software Development, and Computer Networking Products
          "
"
            
        Lead Data Scientist
      
          ","
            Spinny
          ","
            Gurugram, Haryana, India
          ","
         Actively Hiring
      ",2023-02-24 00:00:00,"
            Mid-Senior level
          ","
            Information Technology
          ","
          Full-time
        ","
          Advertising Services
          "
Calling All Data Scientists & Data Analysts,Endeavour Group,"Sydney, New South Wales, Australia",Actively Hiring,2023-03-28 00:00:00,Mid-Senior level,Engineering and Information Technology,Part-time,Internet Publishing
Blockchain Engineer,Turing,India,Actively Hiring,2023-03-31 00:00:00,Mid-Senior level,Engineering and Information Technology,Full-time,Financial Services
"
            
        Senior Software Engineer (FullStack - React/PHP/Node/AWS)
      
          ","
            Squiz
          ","
            Brisbane, Queensland, Australia
          ","
         Actively Hiring
      ",2023-02-10 00:00:00,"
            Mid-Senior level
          ","
            Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          "
"
            
        项目文员
      
          ","
            Highpower International Inc.
          ","
            Shenzhen, Guangdong, China
          ",Actively Hiring,2023-03-01 00:00:00,"
            Mid-Senior level
          ","
            Information Technology
          ","
        
          Employment type
        
        
          Full-time
        
      ","
          Software Development
          "
Full-Stack/Front-End Developer,Digantara,"Bengaluru, Karnataka, India",Actively Hiring,2023-02-06 00:00:00,Entry level,Engineering,Full-time,Defense and Space Manufacturing
Executive Assistant,Sony Music Publishing,"New York, United States",Actively Hiring,2023-04-06 00:00:00,Mid-Senior level,Administrative,Full-time,"IT Services and IT Consulting, Venture Capital and Private Equity Principals, and Financial Services"
Senior DevOps Engineer (m/f/d). Remote,Glassnode,Germany,Be an early applicant,2023-04-13 00:00:00,Mid-Senior level,Other,Full-time,IT Services and IT Consulting
Executive Assistant - Strategic Delivery Group,,"Canberra, Australian Capital Territory, Australia",Be an early applicant,2023-04-27 00:00:00,Mid-Senior level,Other and Health Care Provider,Full-time,"Government Relations Services, Government Administration, and Hospitals and Health Care"
"
            
        Project Manager
      
          ","
            JD Ross Energy
          ","
            New York City Metropolitan Area
          ","
         Actively Hiring
      ",2023-02-27 00:00:00,"
            Mid-Senior level
          ","
            Engineering and Project Management
          ","
          Full-time
        ","
          Renewable Energy Semiconductor Manufacturing
          "
Frontend Developer,99Yellow,"Bengaluru North, Karnataka, India","
         Actively Hiring
      ",2022-09-15 00:00:00,Associate,Engineering and Information Technology,Full-time,Human Resources Services
HR Generalist,National Grid Renewables,"Bloomington, MN",Be an early applicant,2023-04-10 00:00:00,Mid-Senior level,Human Resources,Full-time,Metal Treatments
"
            
        文员
      
          ","
            China Railway Construction Co., Ltd.
          ","
            Zhuhai, Guangdong, China
          ","
         Be an early applicant
      ",2023-02-09 00:00:00,"
            Not Applicable
          ","
            Other
          ","
        
          Employment type
        
        
          Full-time
        
      ","
          Real Estate
          "
"
            
        Personal Assistant To Chief Executive Officer
      
          ","
            BrandOpus
          ","
            London, England, United Kingdom
          ","
         Actively Hiring
      ",2023-03-01 00:00:00,"
          Full-time
        ",,,
"
            
        Junior Project Manager / Full-time (Remote)
      
          ","
            HireMatch
          ","
            Indianapolis, IN
          ","
         Actively Hiring
      ",2023-02-22 00:00:00,"
            Mid-Senior level
          ","
            Project Management and Information Technology
          ","
          Full-time
        ","
          Construction
          "
"
            
        Senior Marketing Manager
      
          ","
            JW Marriott
          ","
            Pune, Maharashtra, India
          ","
         Actively Hiring
      ",2023-03-01 00:00:00,"
            Mid-Senior level
          ","
            Marketing
          ","
          Full-time
        ","
          Hotels and Motels
          "
Sr. Decision Scientist,ZipRecruiter,"Palo Alto, CA",Be an early applicant,2023-04-15 00:00:00,Not Applicable,Engineering and Information Technology,Full-time,Software Development
